movie_id,realisateurs,scenaristes,acteurs
231099,['582632'],"['62582', '705867']","['658881', '404094', '700003', '500560', '31601', '221491', '264696']"
28881,['8929'],['3431'],"['25907', '12336', '21485', '33387', '6233', '33032', '79372', '79373']"
275949,['214044'],"['71816', '483796']","['687174', '845518', '563471', '780797', '78701', '808863', '880905', '878768']"
56032,['83413'],"['83413', '83413']","['16472', '25938', '8402', '141361', '24022', '141362', '5212', '141364']"
132246,['30075'],"['30075', '30075']","['8407', '16335', '5479', '6617', '4819', '17580', '127028', '20610']"
61508,['144227'],['107214'],"['86535', '93216', '26820', '139282', '146001']"
290199,['130750'],['156671'],"['31682', '132707', '134335', '903058', '543121', '68291', '79022', '19193']"
299448,['518901'],,"['169536', '126593', '429202', '429296', '539980', '494963']"
35966,['33033'],['33033'],"['6226', '27613', '24474', '5406', '64653', '64655', '10932', '64656']"
35990,['2025'],['2025'],"['86902', '2026', '2027', '13612', '18552', '328', '3818', '723']"
92899,['1110'],"['1110', '43107', '98976', '43107']","['15344', '1558', '18572', '24835', '2372', '4168', '3461', '25173']"
119191,['66256'],"['96434', '17803']","['16335', '25190', '131949', '34249', '5481', '17803', '67164', '197048']"
179367,"['63390', '35621']","['35621', '35621', '35621']","['140146', '187015', '167099', '540187', '24795', '179676', '51536', '8141']"
1812,['1033'],['1033'],"['2630', '10620', '30761', '56513', '56514', '56515', '14957', '18429']"
263918,['41492'],"['507340', '41492']","['414184', '181550', '726613', '638217', '182490', '22928', '860519', '78817']"
128923,['15127'],"['15127', '93990', '551175', '618802', '666442']","['14838', '17044', '19117', '6226', '62909', '62895', '574426', '15127']"
232911,['22513'],"['22513', '197209']","['19334', '188328', '104746', '38325', '118299', '105068', '573345', '522441']"
3652,['4034'],"['8920', '45167', '4034']","['6290', '1685', '16909', '9882', '2438', '10657', '9067', '1000']"
54145,['18046'],"['18046', '40469']","['11131', '3125', '1768', '328', '981', '126862', '49302', '126863']"
176551,['68477'],"['77413', '208252', '68477']","['505959', '160726', '255947', '474310', '663075', '709196', '709195', '76300']"
10295,['18839'],['18839'],"['18840', '18841', '18842', '65518', '18843', '18844', '80661', '61837']"
253701,['26941'],['26941'],"['86647', '21333', '746630', '797504', '19807', '564111', '609710', '115702']"
6943,['13106'],"['13106', '9081', '84912', '84913']","['9081', '1281', '14684', '14685', '14686', '267566', '171572', '170699']"
285354,['150798'],['438843'],"['638478', '143807', '83894', '146197', '777899', '70122', '93849', '895212']"
31186,['15187'],"['55152', '79776', '52116', '52719', '52720']","['14100', '7268', '58347', '13297', '48950', '6680', '1287', '79775']"
195649,['43141'],"['43141', '72032']","['5568', '206127', '442325', '224478', '29689', '114167', '633606', '196090']"
24365,['954'],"['47390', '173172', '598298', '55594', '173172', '47392']","['14624', '15306', '19157', '6284', '32765', '56936', '21254', '111028']"
29767,['27880'],"['48680', '48681', '48684', '48685']","['48689', '48698', '8406', '48699', '4012', '10975', '5215', '3335']"
